run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:14.581,15.82,0.0,0.0,5,-2,3,80,33.35533905932738,38.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,2.0,247.0,0,247.008,3.384,8.854,51,51,,-36,0,0,0,0,0,-19.0,11.0,-980.0,65,66,83,70,2.79,335
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:14.691,15.93,0.11,0.11,5,-2,3,80,33.35533905932738,38.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,2.0,247.0,0,247.008,2.668,8.854,51,51,,-36,0,0,0,0,0,2.0,14.0,-1002.0,65,66,84,70,2.83,335
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:14.795,16.034,0.214,0.214,5,-2,3,80,33.35533905932738,38.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,2.0,247.0,0,247.008,2.668,8.854,51,51,,-36,0,0,0,0,0,6.0,8.0,-978.0,65,66,83,70,2.81,336
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:14.902,16.141,0.321,0.321,5,-2,3,80,33.35533905932738,38.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,2.0,247.0,0,247.008,2.346,7.86,51,51,,-36,-1,-1,0,0,0,-17.0,20.0,-977.0,64,66,84,70,2.85,336
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:15.010,16.249,0.43,0.43,5,-1,2,81,34.35533905932738,37.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,1.0,248.0,-1,248.004,2.122,6.102,51,51,,-36,-3,-1,0,0,0,-10.0,17.0,-981.0,64,66,84,70,2.81,336
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:15.119,16.358,0.538,0.538,5,-1,2,81,34.35533905932738,37.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,1.0,248.0,-1,248.004,2.702,6.102,51,51,,-36,-1,-1,0,0,0,-8.0,-6.0,-981.0,64,66,83,70,2.78,336
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:15.235,16.475,0.655,0.655,5,-1,2,81,34.35533905932738,37.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,1.0,248.0,-1,248.004,2.702,6.102,51,51,,-35,0,0,0,0,0,-15.0,15.0,-988.0,64,66,82,70,2.99,336
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:15.350,16.589,0.77,0.77,5,-1,2,81,34.35533905932738,37.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,1.0,248.0,-1,248.004,2.716,6.977,51,51,,-35,0,0,0,0,0,-48.0,30.0,-1012.0,64,66,82,70,2.91,336
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:15.460,16.7,0.88,0.88,5,-3,6,82,32.35533905932738,41.35533905932738,82,35.35533905932738,285.3553390593274,80,2,250,10,3.0,244.0,-2,244.027,3.572,7.86,51,51,,-35,0,0,0,0,0,-52.0,25.0,-958.0,64,66,82,70,2.74,336
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:15.567,16.806,0.986,0.986,5,-3,6,82,32.35533905932738,41.35533905932738,82,35.35533905932738,285.3553390593274,80,2,250,10,3.0,244.0,-2,244.027,7.411,14.678,51,51,,-35,0,0,0,0,0,-51.0,12.0,-1045.0,64,66,82,70,2.71,336
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:15.676,16.915,1.095,1.095,5,-3,6,82,32.35533905932738,41.35533905932738,82,35.35533905932738,285.3553390593274,80,2,250,10,3.0,244.0,-2,244.027,7.411,14.678,51,51,,-35,0,0,0,0,0,-22.0,3.0,-1012.0,64,66,81,70,2.71,336
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:15.785,17.025,1.205,1.205,5,-3,6,82,32.35533905932738,41.35533905932738,82,35.35533905932738,285.3553390593274,80,2,250,10,3.0,244.0,-2,244.027,7.571,14.678,51,51,,-35,-1,0,0,0,0,-23.0,21.0,-952.0,64,66,82,70,2.69,337
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:15.894,17.133,1.313,1.313,5,-2,8,81,33.35533905932738,43.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,2.0,242.0,-1,242.01,5.186,16.018,51,51,,-35,0,-1,-1,0,0,-18.0,34.0,-994.0,63,66,82,70,2.73,337
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:15.998,17.238,1.418,1.418,5,-2,8,81,33.35533905932738,43.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,2.0,242.0,-1,242.01,5.186,16.018,51,51,,-35,0,-1,-1,0,0,-16.0,23.0,-1016.0,63,66,81,70,2.87,337
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:16.105,17.344,1.524,1.524,5,-2,8,81,33.35533905932738,43.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,2.0,242.0,-1,242.01,5.235,16.018,51,51,,-35,0,0,-1,0,0,-40.0,52.0,-1032.0,63,66,81,70,2.83,337
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:16.211,17.45,1.63,1.63,5,-2,8,81,33.35533905932738,43.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,2.0,242.0,-1,242.01,5.235,16.018,51,51,,-35,0,-1,-1,0,0,-7.0,28.0,-993.0,63,66,80,70,2.84,337
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:16.319,17.558,1.738,1.738,5,-7,16,79,28.355339059327378,51.35533905932738,79,35.35533905932738,285.3553390593274,80,2,250,10,7.0,234.0,1,234.107,12.528,24.738,51,51,,-35,0,-1,-1,0,0,35.0,-8.0,-1019.0,63,66,80,60,2.9,337
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:16.427,17.666,1.847,1.847,5,-7,16,79,28.355339059327378,51.35533905932738,79,35.35533905932738,285.3553390593274,80,2,250,10,7.0,234.0,1,234.107,12.516,24.802,51,51,,-36,0,-1,-1,0,0,35.0,16.0,-982.0,63,66,80,60,2.85,337
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:16.535,17.774,1.954,1.954,5,-7,16,79,28.355339059327378,51.35533905932738,79,35.35533905932738,285.3553390593274,80,2,250,10,7.0,234.0,1,234.107,11.595,24.802,51,51,,-36,1,-1,-1,0,0,19.0,19.0,-1017.0,63,66,80,60,2.86,337
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:16.644,17.883,2.064,2.064,5,-7,16,79,28.355339059327378,51.35533905932738,79,35.35533905932738,285.3553390593274,80,2,250,10,7.0,234.0,1,234.107,11.595,24.802,51,51,,-36,1,-1,-2,1,0,16.0,40.0,-1041.0,63,66,81,60,2.76,337
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:16.751,17.99,2.17,2.17,5,-7,16,79,28.355339059327378,51.35533905932738,79,35.35533905932738,285.3553390593274,80,2,250,10,7.0,234.0,1,234.107,8.819,29.438,51,51,,-36,1,-2,-2,0,0,29.0,15.0,-996.0,63,66,80,70,2.76,337
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:16.860,18.099,2.279,2.279,5,-4,29,76,31.355339059327378,64.35533905932738,76,35.35533905932738,285.3553390593274,80,2,250,10,4.0,221.0,4,221.072,8.952,28.141,51,51,,-36,2,-1,-2,1,0,2.0,44.0,-975.0,64,65,82,70,2.88,338
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:16.967,18.207,2.387,2.387,5,-4,29,76,31.355339059327378,64.35533905932738,76,35.35533905932738,285.3553390593274,80,2,250,10,4.0,221.0,4,221.072,8.764,28.141,51,51,,-36,1,-1,-1,0,0,27.0,31.0,-981.0,64,65,82,70,2.85,338
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:17.075,18.314,2.494,2.494,5,-4,29,76,31.355339059327378,64.35533905932738,76,35.35533905932738,285.3553390593274,80,2,250,10,4.0,221.0,4,221.072,8.764,28.141,51,51,,-36,2,-2,-1,1,0,29.0,13.0,-975.0,64,65,82,70,2.84,338
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:17.181,18.42,2.6,2.6,6,-3,-2,80,32.35533905932738,83.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,3.0,202.0,0,202.022,9.95,30.148,51,51,,-36,3,0,-1,0,0,19.0,18.0,-993.0,64,65,82,70,2.89,338
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:17.285,18.524,2.704,2.704,6,-3,-2,80,32.35533905932738,83.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,3.0,202.0,0,202.022,10.359,30.142,51,51,,-36,3,-1,-1,0,0,0.0,18.0,-1007.0,64,65,82,70,2.8,338
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:17.393,18.632,2.813,2.813,6,-3,-2,80,32.35533905932738,83.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,3.0,202.0,0,202.022,10.359,30.142,51,51,,-37,3,-1,0,0,0,-3.0,-5.0,-1010.0,64,65,82,70,2.78,338
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:17.500,18.739,2.919,2.919,6,-3,-2,80,32.35533905932738,83.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,3.0,202.0,0,202.022,10.359,30.142,51,51,,-37,2,-1,0,0,0,-4.0,-11.0,-994.0,64,65,82,70,2.8,338
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:17.609,18.848,3.028,3.028,6,-3,-2,80,32.35533905932738,83.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,3.0,202.0,0,202.022,12.297,30.142,51,51,,-36,1,0,0,0,0,-4.0,9.0,-990.0,64,65,83,70,2.8,338
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:17.717,18.956,3.137,3.137,6,0,0,80,35.35533905932738,85.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,0.0,200.0,0,200.0,11.844,31.397,51,51,,-36,1,0,0,0,0,-27.0,-5.0,-987.0,64,65,83,70,2.81,338
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:17.826,19.066,3.246,3.246,6,0,0,80,35.35533905932738,85.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,0.0,200.0,0,200.0,11.844,31.397,51,51,,-36,0,0,0,0,0,-13.0,-25.0,-986.0,64,65,84,70,2.61,339
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:17.933,19.173,3.353,3.353,6,0,0,80,35.35533905932738,85.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,0.0,200.0,0,200.0,10.064,31.397,51,51,,-36,0,0,0,0,0,-12.0,12.0,-999.0,63,66,84,70,2.69,339
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:18.041,19.28,3.46,3.46,6,0,0,80,35.35533905932738,85.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,0.0,200.0,0,200.0,10.064,31.397,51,51,,-36,0,0,0,0,0,-35.0,-3.0,-990.0,63,66,85,70,2.81,339
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:18.149,19.388,3.568,3.568,6,0,0,80,35.35533905932738,85.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,0.0,200.0,0,200.0,11.146,32.437,51,51,,-35,-1,0,0,0,0,-15.0,-4.0,-987.0,63,66,85,70,2.83,339
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:18.256,19.495,3.675,3.675,6,0,4,81,35.35533905932738,89.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,0.0,196.0,-1,196.003,11.108,33.166,51,51,,-35,-1,0,0,0,0,-28.0,10.0,-977.0,63,66,85,70,2.81,339
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:18.364,19.603,3.783,3.783,6,0,4,81,35.35533905932738,89.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,0.0,196.0,-1,196.003,11.108,33.166,51,51,,-36,0,0,0,0,0,-15.0,-13.0,-999.0,63,66,83,70,2.81,339
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:18.474,19.713,3.893,3.893,6,0,4,81,35.35533905932738,89.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,0.0,196.0,-1,196.003,11.362,31.228,51,51,,-36,0,0,0,0,0,-10.0,-10.0,-985.0,63,66,85,70,2.85,339
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:18.581,19.82,4.0,4.0,6,0,4,81,35.35533905932738,89.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,0.0,196.0,-1,196.003,11.362,31.228,51,51,,-36,0,0,0,0,0,-28.0,-19.0,-990.0,63,66,85,70,2.78,339
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:18.691,19.93,4.111,4.111,6,-2,6,83,33.35533905932738,91.35533905932738,83,35.35533905932738,285.3553390593274,80,2,250,10,2.0,194.0,-3,194.034,10.053,28.506,51,51,,-36,0,1,0,0,0,-33.0,-9.0,-1007.0,63,66,84,70,2.91,339
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:18.800,20.039,4.219,4.219,6,-2,6,83,33.35533905932738,91.35533905932738,83,35.35533905932738,285.3553390593274,80,2,250,10,2.0,194.0,-3,194.034,10.053,28.506,51,51,,-35,0,2,0,0,0,-48.0,-9.0,-982.0,63,66,84,70,2.77,340
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:18.909,20.148,4.328,4.328,6,-2,6,83,33.35533905932738,91.35533905932738,83,35.35533905932738,285.3553390593274,80,2,250,10,2.0,194.0,-3,194.034,8.941,25.096,51,51,,-35,0,1,0,0,0,-29.0,-11.0,-987.0,63,66,84,70,2.84,340
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:19.018,20.257,4.437,4.437,6,-2,6,83,33.35533905932738,91.35533905932738,83,35.35533905932738,285.3553390593274,80,2,250,10,2.0,194.0,-3,194.034,8.941,25.096,51,51,,-35,0,1,0,0,0,-28.0,-12.0,-973.0,63,66,83,70,2.76,340
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:19.124,20.363,4.543,4.543,6,-4,6,82,31.355339059327378,91.35533905932738,82,35.35533905932738,285.3553390593274,80,2,250,10,4.0,194.0,-2,194.052,8.828,18.772,51,51,,-36,0,1,0,0,0,-10.0,-15.0,-997.0,63,66,83,70,2.72,340
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:19.230,20.469,4.649,4.649,6,-4,6,82,31.355339059327378,91.35533905932738,82,35.35533905932738,285.3553390593274,80,2,250,10,4.0,194.0,-2,194.052,8.828,18.772,51,51,,-36,-1,0,0,0,0,-35.0,0.0,-1015.0,63,66,83,70,2.72,340
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:19.335,20.575,4.755,4.755,6,-4,6,82,31.355339059327378,91.35533905932738,82,35.35533905932738,285.3553390593274,80,2,250,10,4.0,194.0,-2,194.052,10.928,18.259,51,51,,-36,-1,0,0,0,0,-40.0,3.0,-1024.0,63,66,83,70,2.77,340
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:19.442,20.681,4.862,4.862,6,-4,6,82,31.355339059327378,91.35533905932738,82,35.35533905932738,285.3553390593274,80,2,250,10,4.0,194.0,-2,194.052,10.118,18.259,51,51,,-36,-1,0,0,0,0,-45.0,-15.0,-1025.0,63,66,84,70,2.77,340
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:19.547,20.786,4.966,4.966,6,-4,6,82,31.355339059327378,91.35533905932738,82,35.35533905932738,285.3553390593274,80,2,250,10,4.0,194.0,-2,194.052,8.759,17.654,51,51,,-36,-1,0,0,0,0,-37.0,-1.0,-1019.0,63,66,83,70,2.85,340
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:19.653,20.892,5.072,5.072,6,-5,8,80,30.355339059327378,93.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,5.0,192.0,0,192.065,8.98,19.439,51,51,,-36,-1,0,0,0,0,-55.0,0.0,-1015.0,63,66,84,70,2.83,340
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:19.762,21.001,5.181,5.181,6,-5,8,80,30.355339059327378,93.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,5.0,192.0,0,192.065,8.331,19.439,51,51,,-36,-1,0,0,0,0,-35.0,0.0,-989.0,63,66,84,70,2.75,340
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:19.870,21.109,5.289,5.289,6,-5,8,80,30.355339059327378,93.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,5.0,192.0,0,192.065,8.698,19.439,51,51,,-36,0,0,0,0,0,-41.0,-16.0,-983.0,63,66,84,70,2.78,341
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:19.976,21.216,5.396,5.396,6,-5,8,80,30.355339059327378,93.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,5.0,192.0,0,192.065,7.572,17.391,51,51,,-36,0,0,0,0,0,-41.0,-16.0,-983.0,63,66,84,70,2.78,341
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:20.084,21.323,5.503,5.503,6,-4,7,81,31.355339059327378,92.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,4.0,193.0,-1,193.044,7.585,17.391,51,51,,-36,0,0,0,0,0,-23.0,-44.0,-980.0,63,66,83,70,2.8,341
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:20.190,21.429,5.609,5.609,6,-4,7,81,31.355339059327378,92.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,4.0,193.0,-1,193.044,7.513,16.668,51,51,,-36,-1,1,0,0,0,-16.0,-22.0,-1008.0,63,66,83,70,2.87,341
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:20.296,21.535,5.716,5.716,6,-4,7,81,31.355339059327378,92.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,4.0,193.0,-1,193.044,7.932,16.668,51,51,,-36,-1,1,0,0,0,-13.0,-28.0,-1002.0,63,66,83,70,2.85,341
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:20.404,21.644,5.824,5.824,6,-4,7,81,31.355339059327378,92.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,4.0,193.0,-1,193.044,6.859,15.386,51,51,,-36,-1,1,0,0,0,-24.0,-30.0,-980.0,63,66,83,70,2.86,341
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:20.514,21.753,5.933,5.933,6,-5,6,81,30.355339059327378,91.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,5.0,194.0,-1,194.067,6.956,15.386,51,51,,-36,0,1,0,0,0,-35.0,-10.0,-1004.0,63,66,83,70,2.77,341
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:20.620,21.859,6.039,6.039,6,-5,6,81,30.355339059327378,91.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,5.0,194.0,-1,194.067,8.037,19.796,51,51,,-36,0,1,0,0,0,-22.0,-19.0,-1001.0,63,66,82,70,2.78,341
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:20.726,21.965,6.145,6.145,6,-5,6,81,30.355339059327378,91.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,5.0,194.0,-1,194.067,7.823,19.796,51,51,,-36,0,1,0,0,0,-21.0,-14.0,-1003.0,63,66,82,70,2.79,341
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:20.835,22.074,6.254,6.254,6,-5,6,81,30.355339059327378,91.35533905932738,81,35.35533905932738,285.3553390593274,80,2,250,10,5.0,194.0,-1,194.067,7.823,19.796,51,51,,-36,-1,1,0,0,0,-21.0,-10.0,-1031.0,63,66,82,70,2.81,342
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:20.944,22.183,6.363,6.363,6,-4,6,80,31.355339059327378,91.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,4.0,194.0,0,194.041,7.525,19.796,51,51,,-36,0,1,0,0,0,-35.0,6.0,-1025.0,63,66,82,70,2.77,342
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:21.050,22.29,6.47,6.47,6,-4,6,80,31.355339059327378,91.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,4.0,194.0,0,194.041,6.967,19.013,51,51,,-36,0,1,0,0,0,-16.0,-10.0,-997.0,63,66,81,70,2.75,342
20260526_143458,vee_head_lv2_new_006,vee,head wind,Level2,drone_2,192.168.0.109,B10,2,vee_2,5,1,0,node_segment_1_of_5,2026-05-26T14:35:21.159,22.398,6.578,6.578,6,-4,6,80,31.355339059327378,91.35533905932738,80,35.35533905932738,285.3553390593274,80,2,250,10,4.0,194.0,0,194.041,7.319,19.013,51,51,,-36,0,0,0,0,0,-18.0,-8.0,-990.0,63,66,82,70,2.8,342
